,ID,img_link,Name,price,region,description,use,gearbox,mileage,town,Region,Year_of_manufacture,CC
20,20,https://pictures-kenya.jijistatic.com/32503002_MzAwLTIyNS05NmI5Y2UxZDI4.webp,Mazda Axela 2015 Gray,1580000," Nairobi, Kilimani",mazda axela sedan 2015 with full spec 1500cc petrol,Foreign Used,Automatic,94000, Kilimani, Nairobi,2015,1500cc
21,21,https://pictures-kenya.jijistatic.com/33732407_MzAwLTIyNS0wNjJjZjc0MmM2.webp,Mazda Axela 2015 Blue,1650000," Nairobi, Kilimani",Mazda axela20151490ccdark blue colour up head display,Foreign Used,Automatic,0, Kilimani, Nairobi,2015,1490cc
22,22,https://pictures-kenya.jijistatic.com/34433258_MzAwLTIyNS0wMWZjNmJhNDU4.webp,Mazda Axela 2015 Gray,1600000," Nairobi, Kilimani",Clean fully loaded mazda axela with alloy rims controls on steering wheel in very good condition,Foreign Used,Automatic,149000, Kilimani, Nairobi,2015,Not specified
23,23,https://pictures-kenya.jijistatic.com/34059857_MzAwLTIyNS04YTZhYmM1MzY3.webp,Mazda Axela SV Premium 2014 Black,1380000," Nairobi, Ridgeways","Mazda axella sleek, petrolcall071*********",Kenyan Used,Automatic,95421, Ridgeways, Nairobi,2014,Not specified
24,24,https://pictures-kenya.jijistatic.com/34575766_MzAwLTIyNS0xM2JhNDM5OGM5.webp,Mazda Axela SV Premium 2014 Blue,1450000," Nairobi, Lavington",2014 model :: Hatchback ::1500cc :: Alloy wheels :: Automatic transmission :: In mint condition ,Kenyan Used,Automatic,98000, Lavington, Nairobi,2014,1500cc
25,25,https://pictures-kenya.jijistatic.com/21355176_MzAwLTIyNS1mZDY1MWZjNWEz.webp,Mazda Axela 2014 Blue,1450000," Mombasa, Mombasa CBD",Exceptionally clean year 2014 mazda axela new shape on sale.,Foreign Used,Automatic,95805, Mombasa CBD, Mombasa,2014,Not specified
26,26,https://pictures-kenya.jijistatic.com/12561728_img-20200917-134521-4_300x225.webp,Mazda Axela 2014 SV Premium Beige,1450000," Mombasa, Mvita",Mazda axela hatchback fully loaded car.We accept cash bank and hp terms,Foreign Used,Automatic,87652, Mvita, Mombasa,2014,Not specified
27,27,https://pictures-kenya.jijistatic.com/32324622_MzAwLTIyNS1mMjFiNjI1MGU3LTE.webp,Mazda Axela 2015 Black,1620000," Nairobi, Ridgeways","Mazda axela:- 2015 model, 1500cc, fog lights, alloy rims, steering controls, dvd screen/usb port,...",Foreign Used,Automatic,62000, Ridgeways, Nairobi,2015,1500cc
28,28,https://pictures-kenya.jijistatic.com/19912958_MzAwLTIyNS04MGRkNTFkN2Y3.webp,Mazda Axela 2014 Brown,1450000," Mombasa, Mombasa CBD",Mazda axela manual petrol fully loaded with fog lights and low mileage... we accept cash and hp...,Foreign Used,Manual,96325, Mombasa CBD, Mombasa,2014,Not specified
29,29,https://pictures-kenya.jijistatic.com/25809115_MzAwLTIyNS00MGEyYTdiOTM5.webp,Mazda Axela 2015 Burgandy,1400000," Mombasa, Mombasa CBD",2015new shapeit has alloysfogsdark interior 1800cccall me,Foreign Used,Automatic,96000, Mombasa CBD, Mombasa,2015,1800cc
30,30,https://pictures-kenya.jijistatic.com/28089452_MzAwLTIyNS02OTllNGFkZTc1.webp,Mazda Axela 2014 SV Premium Red,1500000," Mombasa, Mombasa CBD","Clean mazda axela on sale.cash,hire purchase, trade-in or bank financing accepted.",Foreign Used,Automatic,63125, Mombasa CBD, Mombasa,2014,Not specified
