,img_link,Name,price,region,description,use,gearbox,mileage
109,https://pictures-kenya.jijistatic.com/34709194_MzAwLTIyNS03M2E4OGFlZDJm.webp,Mazda Axela 2015 Gray,"KSh 1,500,000"," Mombasa, Mombasa CBD",Mazda axela hatchback new shape very clean car and low mileage,Foreign Used,Automatic,65231km
110,https://pictures-kenya.jijistatic.com/21228145_MzAwLTIyNS04N2ViYjdhYTdm.webp,Mazda Axela 2015 Gray,"KSh 1,400,000"," Mombasa, Mombasa CBD","Loaded with alloy rims, navigation system, central locking system, automatic doors and windows",Foreign Used,Automatic,68866km
111,https://pictures-kenya.jijistatic.com/21435616_MzAwLTIyNS03OGM4ZmNlMWVi.webp,Mazda Axela 2015 Gray,"KSh 1,400,000"," Mombasa, Ganjoni",Cash 1.42015low mileage call ,Foreign Used,Automatic,70000km
112,https://pictures-kenya.jijistatic.com/32000749_MzAwLTIyNS0xMzM0MDRhNjk3.webp,Mazda Axela 2014 SV Premium White,"KSh 1,400,000"," Mombasa, Mombasa CBD",Mazda axela sedan 2014fully loaded,Foreign Used,Automatic,212890km
113,https://pictures-kenya.jijistatic.com/20519663_MzAwLTIyNS01N2I1ZjJkMzUx.webp,Mazda Axela 2014 Blue,"KSh 1,400,000"," Mombasa, Mvita",Mazda axela new shape skyactive technology,Foreign Used,Automatic,85636km
114,https://pictures-kenya.jijistatic.com/30659873_MzAwLTIyNS03MjhiNTZlNzhh.webp,Mazda Axela SV Premium 2014 Blue,"KSh 1,550,000"," Mombasa, Mombasa CBD",Mazda axelafully equipped cash and Hire purchase up 18 months for balance contact us now,Foreign Used,Automatic,73249km
115,https://pictures-kenya.jijistatic.com/26630188_MzAwLTE2OS1lYWM1YTFlNjQ5.webp,Mazda Axela 2014 Red,"KSh 1,360,000"," Nairobi, Kilimani",Mazda Axela20141600ccNew Arrival,Foreign Used,Automatic,145078km
116,https://pictures-kenya.jijistatic.com/33581658_MzAwLTIyNS00OTI2MjhiYmQ0.webp,Mazda Axela 2015 Burgandy,"KSh 1,550,000"," Mombasa, Mombasa CBD",Mazda axelafully loadedcash and HPnew registration,Foreign Used,Automatic,
117,https://pictures-kenya.jijistatic.com/22873834_MzAwLTIyNS00ZDk1YTBkMGMz.webp,Mazda Axela 2014 Red,"KSh 1,480,000"," Mombasa, Mombasa CBD","Mazda axela 2014 model,1500cc petrol, mileage58k,price negotiable",Foreign Used,Automatic,58000km
118,https://pictures-kenya.jijistatic.com/26237275_MzAwLTIyNS1iYjllNDdiMjg5LTE.webp,Mazda Axela 2014 Gray,"KSh 1,450,000"," Mombasa, Mombasa CBD","Mazda axela newshape ,low mileage car ,good price ,fullyloaded car ,foglights, xenon headlights,...",Foreign Used,Automatic,95000km
119,https://pictures-kenya.jijistatic.com/21024290_MzAwLTIyNS1iZGVmOTRiZjc0.webp,Mazda Axela 2015 Silver,"KSh 1,580,000"," Mombasa, Mombasa CBD",We are located in mombasa mazda axela new shape,Foreign Used,Automatic,83000km
120,https://pictures-kenya.jijistatic.com/32468656_MzAwLTIyNS02NzAyNGRiODE0.webp,Mazda Axela 2015 Blue,"KSh 1,600,000"," Mombasa, Mvita",Mazda axela 2015 modelfully loaded with low mileage,Foreign Used,Automatic,54000km
121,https://pictures-kenya.jijistatic.com/32017892_MzAwLTIyNS0xYzdlZGNlOTk2.webp,Mazda Axela 2014 SV Premium Black,"KSh 1,550,000"," Mombasa, Mombasa CBD",Mazda axela 2014blackalloy wheelsfog lights,Foreign Used,Automatic,157192km
122,https://pictures-kenya.jijistatic.com/28624942_MzAwLTIyNS1jNzg2OGViZjM3.webp,Mazda Axela 2014 Silver,"KSh 1,350,000"," Mombasa, Mombasa CBD",Mazda AxelaFully loadedFitted alloyFog lightsReverse cameraLow mileageMalipo pole pole...,Foreign Used,Automatic,
123,https://pictures-kenya.jijistatic.com/22393944_MzAwLTIwMC1mMjgzMjczOGY0.webp,Mazda Axela 2014 Gray,"KSh 1,550,000"," Nairobi, Ridgeways","Mazda axela2014,1500ccmulti-functional steering wheel key-less entryreverse cameratraction...",Foreign Used,Automatic,76212km
124,https://pictures-kenya.jijistatic.com/32708476_MzAwLTE4OS1mOWJmMGY2MDY0LTE.webp,Mazda Axela SV Premium 2014 Pearl,"KSh 1,420,000"," Nairobi, Ridgeways","Mazda axela sedan:- 2014 model, 1500cc,",Foreign Used,Automatic,
125,https://pictures-kenya.jijistatic.com/26409597_MzAwLTI4NS0yYzgyMTYyODU0.webp,Mazda Axela 2014 Black,"KSh 1,500,000"," Mombasa, Mombasa CBD",Mazda Axela hatchback... sports car... We accept hire purchase (malipo ya pole pole)...,Foreign Used,Automatic,
126,https://pictures-kenya.jijistatic.com/33262259_MzAwLTIyNS0xOTE0MGVhMzIz.webp,Mazda Axela 2015 Blue,"KSh 1,600,000"," Mombasa, Mvita",mazda axela  Unregistered 2015 modellow mileage no fault,Foreign Used,Automatic,64000km
127,https://pictures-kenya.jijistatic.com/24496068_MzAwLTIyNS1kMjk3MmM3ZDA0.webp,Mazda Axela 2014 Red,"KSh 1,350,000"," Mombasa, Mvita",Mazda axela hatchback petrol engine 1500cc engine capacity 2014 model year of manufacture maroon...,Foreign Used,Automatic,86000km
128,https://pictures-kenya.jijistatic.com/30721288_MzAwLTMwMC05OWE2OTAxNmY0.webp,Mazda Axela 2014 SV Premium Silver,"KSh 1,450,000"," Mombasa, Mombasa CBD",diesel engineautomatic transmission fog lights new shape5 seaterhigher purchase...,Foreign Used,Automatic,118000km
129,https://pictures-kenya.jijistatic.com/8348125_img-20200425-130705-2_300x225.webp,Mazda Axela 2013 Purple,"KSh 1,300,000"," Mombasa, Mvita",Mazda axela latest modelfully loadedsuperb interior hire purchase available,Foreign Used,Automatic,42850km
130,https://pictures-kenya.jijistatic.com/34290653_MzAwLTIyNS04ZmFmNDc4YTRj.webp,Mazda Axela 2014 Silver,"KSh 1,450,000"," Nairobi, Ridgeways",Mazda axela hatchback(MANUAL TRANSMISSION) silver colour 2014 model 1500cc,Foreign Used,Manual,
